[INFO] [2023-07-15 19:30:52] IP Address: 127.0.0.1 :57456 {'q': '1'}
[INFO] [2023-07-15 19:34:06] IP: 127.0.0.1 :38156 {'q': '1'}
[INFO] [2023-07-15 19:36:00] IP Address: 127.0.0.1, Method: GET, URL: http://localhost:8000/image/hello2.gif?q=1
[INFO] [2023-07-15 19:40:24] IP Address: 127.0.0.1, Method: GET, URL: http://localhost:8000/image/hello2.gif?q=1
[INFO] [2023-07-15 19:42:39] IP Address: 127.0.0.1, Method: GET, URL: /image/hello2.gif
[INFO] [2023-07-15 19:54:42] IP Address: 127.0.0.1, Method: GET
[INFO] [2023-07-15 19:55:19] IP Address: 127.0.0.1, Method: GET
[INFO] [2023-07-15 19:55:24] IP Address: 127.0.0.1, Method: GET
[INFO] [2023-07-15 19:58:52] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 19:59:09] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 19:59:53] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 20:02:30] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 20:02:47] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 20:07:20] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 20:08:16] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 20:14:57] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 20:41:52] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 20:47:01] IP Address: 192.168.110.220, 
[INFO] [2023-07-15 20:48:16] IP Address: 192.168.110.43, 
[INFO] [2023-07-15 20:48:16] IP Address: 192.168.110.43, 
[INFO] [2023-07-15 21:16:03] IP Address: 192.168.110.220, 
[INFO] [2023-07-15 21:18:01] IP Address: 192.168.110.220, 
[INFO] [2023-07-15 21:22:00] IP Address: 192.168.110.220, 
[INFO] [2023-07-15 21:23:16] IP Address: 192.168.110.220, 
[INFO] [2023-07-15 21:23:34] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 21:31:32] IP Address: 192.168.110.220, 
[INFO] [2023-07-15 21:32:36] IP Address: 192.168.110.220, 
[INFO] [2023-07-15 21:34:19] IP Address: 192.168.110.220, 
[INFO] [2023-07-15 21:43:39] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 21:44:55] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 21:45:10] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 21:45:35] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 21:50:27] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 21:51:20] IP Address: 192.168.110.220, 
[INFO] [2023-07-15 21:58:14] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 21:59:10] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 22:04:44] IP Address: 192.168.110.220, 
[INFO] [2023-07-15 22:05:09] IP Address: 192.168.110.220, 
[INFO] [2023-07-15 22:06:14] IP Address: 192.168.110.220, 
[INFO] [2023-07-15 22:07:46] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 22:08:39] IP Address: 192.168.110.220, 
[INFO] [2023-07-15 22:15:34] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 22:15:39] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 22:18:48] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 22:21:56] IP Address: 192.168.110.220, 
[INFO] [2023-07-15 22:23:42] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 22:39:24] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 22:40:19] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 22:40:48] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 22:43:10] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 22:43:53] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 22:44:23] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 22:45:46] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 22:46:12] IP Address: 127.0.0.1, 
[INFO] [2023-07-15 22:46:40] IP Address: 127.0.0.1, 
[INFO] [2023-07-16 20:51:39] IP Address: 127.0.0.1, 
[INFO] [2023-07-16 20:51:40] IP Address: 127.0.0.1, 
[INFO] [2023-07-16 20:52:41] IP Address: 127.0.0.1, 
[INFO] [2023-07-16 20:54:43] IP Address: 127.0.0.1, 
[INFO] [2023-07-16 20:54:45] IP Address: 127.0.0.1, 
[INFO] [2023-07-16 20:55:11] IP Address: 127.0.0.1, 
[INFO] [2023-07-16 20:57:20] IP Address: 127.0.0.1, 
[INFO] [2023-07-16 20:58:29] IP Address: 127.0.0.1, 


